date,day,th_month,year,1st_prize,2digit_up,3digit_up,2digit_buttom,"3digit_front,3digit_bottom",3digit_front,3digit_bottom,thai_zodiac,dow,moon_phase,moon_category,moon_distance_km
2022-10-16,16,ตุลาคม,2565,613106,06,106,15,['037' '158' '606' '799'],['037' '158'],['606' '799'],Tiger,Sunday,0.6611786651611328,ช่วงข้างแรม,403008.6194687919
2022-10-01,1,ตุลาคม,2565,484669,69,669,50,['206' '996' '194' '278'],['206' '996'],['194' '278'],Tiger,Saturday,0.2798526954650879,ช่วงข้างขึ้น,372859.38605779776
2022-09-16,16,กันยายน,2565,943703,03,703,75,['540' '971' '432' '631'],['540' '971'],['432' '631'],Tiger,Friday,0.6819019317626953,ช่วงข้างแรม,396458.2727277884
2022-09-01,1,กันยายน,2565,929332,32,332,83,['298' '725' '210' '604'],['298' '725'],['210' '604'],Tiger,Thursday,0.21555179595947266,ช่วงข้างขึ้น,381872.4564167904
2022-08-16,16,สิงหาคม,2565,331583,83,583,42,['271' '300' '284' '876'],['271' '300'],['284' '876'],Tiger,Tuesday,0.8054206848144532,ช่วงข้างแรม,380149.9257074482
2022-08-01,1,สิงหาคม,2565,436594,94,594,14,['266' '893' '282' '447'],['266' '893'],['282' '447'],Tiger,Monday,0.10010284423828125,เริ่มข้างขึ้น,396267.01588051626
2022-07-16,16,กรกฎาคม,2565,620405,05,405,53,['159' '834' '061' '279'],['159' '834'],['061' '279'],Tiger,Saturday,0.9252967834472656,ช่วงข้างแรมแก่,363615.142561791
2022-07-01,1,กรกฎาคม,2565,981417,17,417,61,['242' '287' '002' '542'],['242' '287'],['002' '542'],Tiger,Friday,0.03342242002487183,เริ่มข้างขึ้น,405528.7096916721
2022-06-16,16,มิถุนายน,2565,361807,07,807,92,['285' '549' '106' '228'],['285' '549'],['106' '228'],Tiger,Thursday,0.9642070770263672,ช่วงข้างแรมแก่,358434.8371303128
2022-06-01,1,มิถุนายน,2565,319196,96,196,02,['679' '817' '213' '652'],['679' '817'],['213' '652'],Tiger,Wednesday,0.021635417938232423,เริ่มข้างขึ้น,405760.9625887056
